t,p,q,in equilibrium,p_e,q_e
0,32.05,50.0,False,50.0,50.0
1,40.05,51.0000001,False,49.9999999,51.0000001
2,48.05,52.0000002,False,49.9999998,52.0000002
3,49.9999998,53.0000002,False,49.9999997,53.0000003
4,49.9999997,54.0000003,False,49.9999996,54.0000004
5,49.9999996,50.0000004,False,49.9999995,50.0000005
6,49.9999995,51.0000005,False,49.9999994,51.0000006
7,49.9999994,52.0000006,False,49.9999993,52.0000007
8,49.9999993,53.0000007,False,49.9999992,53.0000008
9,49.9999992,54.0000008,False,49.9999991,54.0000009
10,49.9999991,50.0000009,False,49.999999,50.000001
11,49.999999,51.000001,False,49.9999989,51.0000011
12,49.9999989,52.0000011,False,49.9999988,52.0000012
13,49.9999988,53.0000012,False,49.9999987,53.0000013
14,49.9999987,54.0000013,False,49.9999986,54.0000014
15,49.9999986,50.0000014,False,49.9999985,50.0000015
16,49.9999985,51.0000015,False,49.9999984,51.0000016
17,49.9999984,52.0000016,False,49.9999983,52.0000017
18,49.9999983,53.0000017,False,49.9999982,53.0000018
19,49.9999982,54.0000018,False,49.9999981,54.0000019
20,49.9999981,50.0000019,False,49.999998,50.000002
21,49.999998,51.000002,False,49.9999979,51.0000021
22,49.9999979,52.0000021,False,49.9999978,52.0000022
23,49.9999978,53.0000022,False,49.9999977,53.0000023
24,49.9999977,54.0000023,False,49.9999976,54.0000024
25,49.9999976,50.0000024,False,49.9999975,50.0000025
26,49.9999975,51.0000025,False,49.9999974,51.0000026
27,49.9999974,52.0000026,False,49.9999973,52.0000027
28,49.9999973,53.0000027,False,49.9999972,53.0000028
29,49.9999972,54.0000028,False,49.9999971,54.0000029
30,49.9999971,50.0000029,False,49.999997,50.000003
31,49.999997,51.000003,False,49.9999969,51.0000031
32,49.9999969,52.0000031,False,49.9999968,52.0000032
33,49.9999968,53.0000032,False,49.9999967,53.0000033
34,49.9999967,54.0000033,False,49.9999966,54.0000034
35,49.9999966,50.0000034,False,49.9999965,50.0000035
36,49.9999965,51.0000035,False,49.9999964,51.0000036
37,49.9999964,52.0000036,False,49.9999963,52.0000037
38,49.9999963,53.0000037,False,49.9999962,53.0000038
39,49.9999962,54.0000038,False,49.9999961,54.0000039
40,49.9999961,50.0000039,False,49.999996,50.000004
41,49.999996,51.000004,False,49.9999959,51.0000041
42,49.9999959,52.0000041,False,49.9999958,52.0000042
43,49.9999958,53.0000042,False,49.9999957,53.0000043
44,49.9999957,54.0000043,False,49.9999956,54.0000044
45,49.9999956,50.0000044,False,49.9999955,50.0000045
46,49.9999955,51.0000045,False,49.9999954,51.0000046
47,49.9999954,52.0000046,False,49.9999953,52.0000047
48,49.9999953,53.0000047,False,49.9999952,53.0000048
49,49.9999952,54.0000048,False,49.9999951,54.0000049
50,49.9999951,50.0000049,False,49.999995,50.000005
51,49.999995,51.000005,False,49.9999949,51.0000051
52,49.9999949,52.0000051,False,49.9999948,52.0000052
53,49.9999948,53.0000052,False,49.9999947,53.0000053
54,49.9999947,54.0000053,False,49.9999946,54.0000054
55,49.9999946,50.0000054,False,49.9999945,50.0000055
56,49.9999945,51.0000055,False,49.9999944,51.0000056
57,49.9999944,52.0000056,False,49.9999943,52.0000057
58,49.9999943,53.0000057,False,49.9999942,53.0000058
59,49.9999942,54.0000058,False,49.9999941,54.0000059
60,49.9999941,50.0000059,False,49.999994,50.000006
61,49.999994,51.000006,False,49.9999939,51.0000061
62,49.9999939,52.0000061,False,49.9999938,52.0000062
63,49.9999938,53.0000062,False,49.9999937,53.0000063
64,49.9999937,54.0000063,False,49.9999936,54.0000064
65,49.9999936,50.0000064,False,49.9999935,50.0000065
66,49.9999935,51.0000065,False,49.9999934,51.0000066
67,49.9999934,52.0000066,False,49.9999933,52.0000067
68,49.9999933,53.0000067,False,49.9999932,53.0000068
69,49.9999932,54.0000068,False,49.9999931,54.0000069
70,49.9999931,50.0000069,False,49.999993,50.000007
71,49.999993,51.000007,False,49.9999929,51.0000071
72,49.9999929,52.0000071,False,49.9999928,52.0000072
73,49.9999928,53.0000072,False,49.9999927,53.0000073
74,49.9999927,54.0000073,False,49.9999926,54.0000074
75,49.9999926,50.0000074,False,49.9999925,50.0000075
76,49.9999925,51.0000075,False,49.9999924,51.0000076
77,49.9999924,52.0000076,False,49.9999923,52.0000077
78,49.9999923,53.0000077,False,49.9999922,53.0000078
79,49.9999922,54.0000078,False,49.9999921,54.0000079
80,49.9999921,50.0000079,False,49.999992,50.000008
81,49.999992,51.000008,False,49.9999919,51.0000081
82,49.9999919,52.0000081,False,49.9999918,52.0000082
83,49.9999918,53.0000082,False,49.9999917,53.0000083
84,49.9999917,54.0000083,False,49.9999916,54.0000084
85,49.9999916,50.0000084,False,49.9999915,50.0000085
86,49.9999915,51.0000085,False,49.9999914,51.0000086
87,49.9999914,52.0000086,False,49.9999913,52.0000087
88,49.9999913,53.0000087,False,49.9999912,53.0000088
89,49.9999912,54.0000088,False,49.9999911,54.0000089
90,49.9999911,50.0000089,False,49.999991,50.000009
91,49.999991,51.000009,False,49.9999909,51.0000091
92,49.9999909,52.0000091,False,49.9999908,52.0000092
93,49.9999908,53.0000092,False,49.9999907,53.0000093
94,49.9999907,54.0000093,False,49.9999906,54.0000094
95,49.9999906,50.0000094,False,49.9999905,50.0000095
96,49.9999905,51.0000095,False,49.9999904,51.0000096
97,49.9999904,52.0000096,False,49.9999903,52.0000097
98,49.9999903,53.0000097,False,49.9999902,53.0000098
99,49.9999902,54.0000098,False,49.9999901,54.0000099
100,49.9999901,50.0000099,False,49.99999,50.00001
101,49.99999,51.00001,False,49.9999899,51.0000101
102,49.9999899,52.0000101,False,49.9999898,52.0000102
103,49.9999898,53.0000102,False,49.9999897,53.0000103
104,49.9999897,54.0000103,False,49.9999896,54.0000104
105,49.9999896,50.0000104,False,49.9999895,50.0000105
106,49.9999895,51.0000105,False,49.9999894,51.0000106
107,49.9999894,52.0000106,False,49.9999893,52.0000107
108,49.9999893,53.0000107,False,49.9999892,53.0000108
109,49.9999892,54.0000108,False,49.9999891,54.0000109
110,49.9999891,50.0000109,False,49.999989,50.000011
111,49.999989,51.000011,False,49.9999889,51.0000111
112,49.9999889,52.0000111,False,49.9999888,52.0000112
113,49.9999888,53.0000112,False,49.9999887,53.0000113
114,49.9999887,54.0000113,False,49.9999886,54.0000114
115,49.9999886,50.0000114,False,49.9999885,50.0000115
116,49.9999885,51.0000115,False,49.9999884,51.0000116
117,49.9999884,52.0000116,False,49.9999883,52.0000117
118,49.9999883,53.0000117,False,49.9999882,53.0000118
119,49.9999882,54.0000118,False,49.9999881,54.0000119
120,49.9999881,50.0000119,False,49.999988,50.000012
121,49.999988,51.000012,False,49.9999879,51.0000121
122,49.9999879,52.0000121,False,49.9999878,52.0000122
123,49.9999878,53.0000122,False,49.9999877,53.0000123
124,49.9999877,54.0000123,False,49.9999876,54.0000124
125,49.9999876,50.0000124,False,49.9999875,50.0000125
126,49.9999875,51.0000125,False,49.9999874,51.0000126
127,49.9999874,52.0000126,False,49.9999873,52.0000127
128,49.9999873,53.0000127,False,49.9999872,53.0000128
129,49.9999872,54.0000128,False,49.9999871,54.0000129
130,49.9999871,50.0000129,False,49.999987,50.000013
131,49.999987,51.000013,False,49.9999869,51.0000131
132,49.9999869,52.0000131,False,49.9999868,52.0000132
133,49.9999868,53.0000132,False,49.9999867,53.0000133
134,49.9999867,54.0000133,False,49.9999866,54.0000134
135,49.9999866,50.0000134,False,49.9999865,50.0000135
136,49.9999865,51.0000135,False,49.9999864,51.0000136
137,49.9999864,52.0000136,False,49.9999863,52.0000137
138,49.9999863,53.0000137,False,49.9999862,53.0000138
139,49.9999862,54.0000138,False,49.9999861,54.0000139
140,49.9999861,50.0000139,False,49.999986,50.000014
141,49.999986,51.000014,False,49.9999859,51.0000141
142,49.9999859,52.0000141,False,49.9999858,52.0000142
143,49.9999858,53.0000142,False,49.9999857,53.0000143
144,49.9999857,54.0000143,False,49.9999856,54.0000144
